Year	England	Scotland	UK	Wales
1910	8.88333333333333	6.9	8.21666666666667	8.8
1911	9.73333333333333	7.575	8.95	9.55833333333334
1912	9.00833333333333	6.95833333333333	8.275	8.725
1913	9.4	7.41666666666667	8.7	9.16666666666667
1914	9.46666666666667	7.35833333333333	8.7	9.05
1915	8.53333333333333	6.475	7.80833333333333	8.21666666666667
1916	8.775	6.89166666666667	8.125	8.41666666666667
1917	8.15	6.375	7.525	7.74166666666667
1918	9.1	6.94166666666667	8.35	8.80833333333333
1919	8.1	6.14166666666667	7.41666666666667	7.75
1920	9.16666666666667	7.24166666666667	8.46666666666667	8.80833333333333
1921	10.075	7.69166666666667	9.225	9.64166666666667
1922	8.31666666666667	6.38333333333333	7.63333333333333	7.93333333333333
1923	8.675	6.61666666666667	7.95833333333333	8.43333333333333
1924	8.86666666666667	6.98333333333333	8.2	8.475
1925	8.81666666666667	6.85	8.13333333333333	8.45
1926	9.34166666666667	7.29166666666667	8.61666666666667	8.95833333333333
1927	8.775	6.725	8.05833333333334	8.45833333333333
1928	9.16666666666667	6.9	8.375	8.8
1929	8.64166666666667	6.70833333333333	7.95833333333333	8.23333333333333
1930	9.10833333333333	6.89166666666667	8.29166666666667	8.55833333333333
1931	8.59166666666667	6.85833333333333	7.98333333333333	8.26666666666667
1932	9	7.23333333333333	8.36666666666667	8.59166666666667
1933	9.45	7.775	8.83333333333333	8.81666666666667
1934	9.55	7.66666666666667	8.86666666666667	8.99166666666667
1935	9.325	7.11666666666667	8.525	8.825
1936	8.91666666666667	7.125	8.25833333333333	8.575
1937	9.125	6.96666666666667	8.35833333333333	8.70833333333333
1938	9.65	7.71666666666667	8.91666666666667	9.13333333333333
1939	9.25	7.38333333333333	8.59166666666667	8.88333333333333
1940	8.875	7.01666666666667	8.2	8.55833333333334
1941	8.625	6.88333333333333	7.99166666666667	8.4
1942	8.675	6.78333333333333	8.03333333333333	8.55833333333333
1943	9.63333333333333	7.59166666666667	8.9	9.20833333333333
1944	9.11666666666667	7.2	8.48333333333333	8.86666666666667
1945	9.84166666666667	8.10833333333333	9.2	9.39166666666667
1946	9.05	7.15833333333333	8.38333333333333	8.60833333333333
1947	9.48333333333333	7.34166666666667	8.69166666666667	8.925
1948	9.56666666666667	7.475	8.825	9.15833333333333
1949	10.125	7.91666666666667	9.35833333333333	9.80833333333334
1950	9.09166666666667	6.93333333333333	8.31666666666667	8.65
1951	8.875	6.725	8.11666666666667	8.49166666666667
1952	8.76666666666667	6.60833333333333	8.00833333333333	8.425
1953	9.45	7.89166666666667	8.91666666666667	9.15833333333333
1954	8.81666666666667	6.83333333333334	8.10833333333333	8.5
1955	8.85833333333333	7.15	8.225	8.65833333333333
1956	8.53333333333333	6.86666666666667	7.95833333333334	8.34166666666667
1957	9.575	7.45833333333333	8.85	9.33333333333333
1958	8.99166666666667	6.89166666666667	8.275	8.725
1959	10.0083333333333	7.9	9.225	9.66666666666667
1960	9.29166666666666	7.225	8.55833333333333	8.85
1961	9.575	7.28333333333333	8.74166666666667	9.03333333333333
1962	8.14166666666667	6.58333333333333	7.6	7.85
1963	8.54166666666667	6.73333333333334	7.875	8.225
1964	8.98333333333333	7.19166666666667	8.35	8.6
1965	8.5	6.41666666666667	7.74166666666667	8.11666666666667
1966	9.025	6.64166666666667	8.19166666666667	8.65833333333333
1967	9.225	7.14166666666667	8.46666666666667	8.71666666666667
1968	8.90833333333333	6.78333333333334	8.14166666666667	8.50833333333333
1969	8.84166666666667	6.875	8.09166666666667	8.35833333333333
1970	9.1	6.81666666666667	8.30833333333333	8.69166666666667
1971	9.33333333333333	7.675	8.74166666666667	9.05833333333333
1972	8.79166666666667	6.96666666666667	8.13333333333333	8.3
1973	9.21666666666667	7.1	8.45	8.88333333333333
1974	9.075	7.14166666666667	8.38333333333333	8.575
1975	9.475	7.5	8.79166666666667	9.15
1976	9.50833333333333	7.44166666666667	8.76666666666667	8.96666666666667
1977	9	6.84166666666667	8.24166666666667	8.63333333333333
1978	8.88333333333333	6.91666666666667	8.2	8.55
1979	8.45	6.34166666666667	7.65833333333334	7.84166666666667
1980	8.95	7.09166666666667	8.28333333333333	8.55
1981	8.83333333333333	6.91666666666667	8.125	8.46666666666667
1982	9.46666666666667	7.375	8.725	9.05
1983	9.575	7.45833333333333	8.85	9.225
1984	9.30833333333333	7.375	8.60833333333333	9.01666666666666
1985	8.50833333333333	6.475	7.79166666666667	8.1
1986	8.575	6.55	7.825	8.075
1987	8.74166666666667	6.70833333333333	8.01666666666667	8.35833333333333
1988	9.43333333333333	7.51666666666667	8.725	9.00833333333333
1989	10.1916666666667	7.625	9.25	9.625
1990	10.2916666666667	7.8	9.38333333333333	9.75
1991	9.16666666666667	7.375	8.525	8.7
1992	9.51666666666667	7.3	8.71666666666667	9.05
1993	9.15833333333333	6.85833333333333	8.325	8.66666666666667
1994	9.83333333333333	7.14166666666667	8.83333333333333	9.225
1995	10.075	7.46666666666667	9.15	9.625
1996	8.79166666666667	6.93333333333333	8.15	8.325
1997	10.15	8.00833333333333	9.36666666666667	9.64166666666667
1998	9.975	7.54166666666667	9.11666666666667	9.49166666666667
1999	10.25	7.7	9.34166666666667	9.68333333333333
2000	9.925	7.58333333333333	9.05833333333333	9.33333333333333
2001	9.64166666666667	7.31666666666667	8.80833333333333	9.08333333333333
2002	10.2833333333333	8	9.45	9.625
2003	10.2416666666667	8.18333333333334	9.475	9.6
2004	10.225	8.09166666666667	9.45833333333334	9.68333333333333
2005	10.1583333333333	8.05	9.40833333333333	9.68333333333333
2006	10.5666666666667	8.20833333333333	9.69166666666667	9.91666666666667
2007	10.3583333333333	8.16666666666667	9.575	9.85833333333333
2008	9.83333333333333	7.66666666666667	9.03333333333333	9.30833333333334
2009	9.94166666666667	7.8	9.14166666666667	9.29166666666667
2010	8.83333333333333	6.80833333333333	8.09166666666667	8.21666666666667
2011	10.5583333333333	8.03333333333333	9.625	9.91666666666667
2012	9.55	7.30833333333333	8.75	9.1
2013	9.39166666666667	7.49166666666667	8.725	8.98333333333333
2014	10.7666666666667	8.43333333333333	9.875	10.0916666666667
2015	10.1333333333333	7.54166666666667	9.16666666666667	9.475
2016	10.1333333333333	7.8	9.29166666666667	9.64166666666667
2017	10.9181818181818	8.48181818181818	10.0363636363636	10.3181818181818